sep=; 
EthoWatcher Open Source 
Observer
Lab
Experiment
Animal
Weight
sex
Treatment/condition
Other Info
WARNING: in this version, DECIMALS are separated by DOT(.) 
TRACKING - ACTIVITY REPORT
Registred video file are locate in C:/teste_ethowatcher/Lane maze w background femeas exemplo multiplas areas mosca 1 intrinsic noise camera virtual.vxml
Start in ;22.5;seconds ;675; frames 
End in ;56.9333;seconds ;1708; frames 
1 cm = ;108.805; pixeis
1 pixel= 8.447e-05cm2
Area Name ;Total Area
Figure Height; 480
Figure Width; 640






;;Number of pixels;Area (in cm2);Horizontal coordinate of the centroid;Vertical coordinate of the centroid;AA(in degrees);Height of the animal;Width of the animal;Object Detected;Distance travelled by the centroid;Distance travelled by the centroid;Variation of Area (from the former frame);Variation of Height of animal (from the former frame);Variation of width of animal (from the former frame);Variation of Angule of animal;Intrinsic noise (minimum variation distance traveled by the centroid)
frames;second;of the animal's body;of the animal's body;(in pixels, from0 to 640 );(in pixels, from 0 to 480 );Angle between animal and Horizontal coordinate ;in cm;in cm;true or false;(in pixels);(in cm);in cm2;in cm;in cm;in degrees;true or false
730;24.3333;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
731;24.3667;152;0.0128394;139.839;24.5833;-3.81407;0.0788654;0.221312;true;11.1512;0.102488;-0.00211175;-0.155453;0.13119;74.876;false;
732;24.4;152;0.0128394;139.839;24.5833;-3.81407;0.0788654;0.221312;true;0;0;0;0;0;0;true;
733;24.4333;152;0.0128394;139.839;24.5833;-3.81407;0.0788654;0.221312;true;0;0;0;0;0;0;true;
734;24.4667;152;0.0128394;139.839;24.5833;-3.81407;0.0788654;0.221312;true;0;0;0;0;0;0;true;
735;24.5;152;0.0128394;139.839;24.5833;-3.81407;0.0788654;0.221312;true;0;0;0;0;0;0;true;
736;24.5333;141;0.0119103;153.287;25.0201;0;0.073526;0.211387;true;13.4555;0.123666;-0.00092917;-0.00533939;-0.00992491;3.81407;false;
737;24.5667;141;0.0119103;153.287;25.0201;0;0.073526;0.211387;true;0;0;0;0;0;0;true;
738;24.6;141;0.0119103;153.287;25.0201;0;0.073526;0.211387;true;0;0;0;0;0;0;true;
739;24.6333;141;0.0119103;153.287;25.0201;0;0.073526;0.211387;true;0;0;0;0;0;0;true;
740;24.6667;141;0.0119103;153.287;25.0201;0;0.073526;0.211387;true;0;0;0;0;0;0;true;
741;24.7;147;0.0124171;169.193;24.873;0;0.0827168;0.211387;true;15.9062;0.14619;0.00050682;0.00919075;0;0;false;
742;24.7333;147;0.0124171;169.193;24.873;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
743;24.7667;147;0.0124171;169.193;24.873;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
744;24.8;142.5;0.012037;183.972;24.1965;0;0.073526;0.211387;true;14.7947;0.135974;-0.000380115;-0.00919075;0;0;false;
745;24.8333;142.5;0.012037;183.972;24.1965;0;0.073526;0.211387;true;0;0;0;0;0;0;true;
746;24.8667;142.5;0.012037;183.972;24.1965;0;0.073526;0.211387;true;0;0;0;0;0;0;true;
747;24.9;148.5;0.0125438;195.294;23.5017;-5.19443;0.0765525;0.213015;true;11.3434;0.104254;0.00050682;0.00302641;0.00162813;-5.19443;false;
748;24.9333;148.5;0.0125438;195.294;23.5017;-5.19443;0.0765525;0.213015;true;0;0;0;0;0;0;true;
749;24.9667;149.5;0.0126283;206.332;24.5217;-4.76364;0.0770883;0.212947;true;11.0852;0.101881;8.447e-05;0.000535883;-6.85422e-05;0.430788;false;
750;25;149.5;0.0126283;206.332;24.5217;-4.76364;0.0770883;0.212947;true;0;0;0;0;0;0;true;
751;25.0333;149.5;0.0126283;206.332;24.5217;-4.76364;0.0770883;0.212947;true;0;0;0;0;0;0;true;
752;25.0667;149.5;0.0126283;206.332;24.5217;-4.76364;0.0770883;0.212947;true;0;0;0;0;0;0;true;
